Distances,Angles,Trial Folder,Trial Number
6,90,trial_0_combi_6_90,1.0
6,90,trial_1_combi_6_90,2.0
3,90,trial_2_combi_3_90,3.0
3,90,trial_3_combi_3_90,4.0
6,45,trial_4_combi_6_45,5.0
6,45,trial_5_combi_6_45,6.0
6,45,trial_6_combi_6_45,7.0
6,45,trial_7_combi_6_45,8.0
3,90,trial_8_combi_3_90,9.0
,90,trial_9_combi__90,10.0
,45,trial_10_combi__45,11.0
3,45,trial_11_combi_3_45,12.0
,45,trial_12_combi__45,13.0
,90,trial_13_combi__90,14.0
6,45,trial_14_combi_6_45,15.0
3,45,trial_15_combi_3_45,16.0
3,45,trial_16_combi_3_45,17.0
,45,trial_17_combi__45,18.0
6,90,trial_18_combi_6_90,19.0
6,45,trial_19_combi_6_45,20.0
3,45,trial_20_combi_3_45,21.0
,45,trial_21_combi__45,22.0
,45,trial_22_combi__45,23.0
,45,trial_23_combi__45,24.0
3,45,trial_24_combi_3_45,25.0
,90,trial_25_combi__90,26.0
6,90,trial_26_combi_6_90,27.0
3,45,trial_27_combi_3_45,28.0
3,45,trial_28_combi_3_45,29.0
6,45,trial_29_combi_6_45,30.0
3,90,trial_30_combi_3_90,31.0
3,90,trial_31_combi_3_90,32.0
3,45,trial_32_combi_3_45,33.0
,45,trial_33_combi__45,34.0
3,45,trial_34_combi_3_45,35.0
6,45,trial_35_combi_6_45,36.0
,45,trial_36_combi__45,37.0
3,45,trial_37_combi_3_45,38.0
6,45,trial_38_combi_6_45,39.0
,45,trial_39_combi__45,40.0
3,45,trial_40_combi_3_45,41.0
3,45,trial_41_combi_3_45,42.0
6,90,trial_42_combi_6_90,43.0
,45,trial_43_combi__45,44.0
3,45,trial_44_combi_3_45,45.0
3,90,trial_45_combi_3_90,46.0
6,45,trial_46_combi_6_45,47.0
6,90,trial_47_combi_6_90,48.0
3,45,trial_48_combi_3_45,49.0
3,45,trial_49_combi_3_45,50.0
6,45,trial_50_combi_6_45,51.0
3,45,trial_51_combi_3_45,52.0
3,90,trial_52_combi_3_90,53.0
3,45,trial_53_combi_3_45,54.0
,45,trial_54_combi__45,55.0
6,45,trial_55_combi_6_45,56.0
6,45,trial_56_combi_6_45,57.0
6,90,trial_57_combi_6_90,58.0
3,90,trial_58_combi_3_90,59.0
,90,trial_59_combi__90,60.0
,90,trial_60_combi__90,61.0
,45,trial_61_combi__45,62.0
,90,trial_62_combi__90,63.0
6,90,trial_63_combi_6_90,64.0
6,45,trial_64_combi_6_45,65.0
6,45,trial_65_combi_6_45,66.0
3,90,trial_66_combi_3_90,67.0
3,45,trial_67_combi_3_45,68.0
6,45,trial_68_combi_6_45,69.0
6,45,trial_69_combi_6_45,70.0
6,90,trial_70_combi_6_90,71.0
6,45,trial_71_combi_6_45,72.0
3,45,trial_72_combi_3_45,73.0
,45,trial_73_combi__45,74.0
,45,trial_74_combi__45,75.0
3,90,trial_75_combi_3_90,76.0
6,45,trial_76_combi_6_45,77.0
,45,trial_77_combi__45,78.0
,90,trial_78_combi__90,79.0
,45,trial_79_combi__45,80.0
6,45,trial_80_combi_6_45,81.0
,45,trial_81_combi__45,82.0
,90,trial_82_combi__90,83.0
6,90,trial_83_combi_6_90,84.0
,45,trial_84_combi__45,85.0
,45,trial_85_combi__45,86.0
3,45,trial_86_combi_3_45,87.0
,90,trial_87_combi__90,88.0
,90,trial_88_combi__90,89.0
,45,trial_89_combi__45,90.0
